timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
562937174,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
563444182,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
563951064,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
564461116,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
564967071,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
565476097,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
565984129,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
566493414,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
567001244,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
567510523,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
568020531,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
568521070,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
569024342,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
569535063,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
570040358,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
570542085,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
571053837,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
571564063,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
572070163,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
572576083,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
573083171,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
573590429,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
574097069,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
574606345,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
575107146,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
575608072,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
576116219,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
576617072,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
577126076,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
577634269,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
578143062,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
578651063,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
579159908,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
579660624,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
580170731,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
580681156,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
581183078,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
581688161,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
582198162,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
582698228,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
583207063,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
583714159,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
584223067,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
584725149,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
585227236,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
585737253,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
586237397,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
586739098,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
587243064,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
587753197,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
588257598,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
588764159,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
589269063,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
589775555,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
590276106,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
590787064,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
591287125,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
591798064,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
592309410,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
592809572,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
593317070,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
593823180,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
594330294,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
594839083,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
595347265,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
595856188,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
596365100,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
596866323,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
597376243,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
597879073,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
598381989,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
598882039,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
599392472,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
